Date,equity
2019-09-26,94574.72457809483
2019-09-27,94574.72457809483
2019-09-30,95446.44563280776
2019-10-01,95417.81169911793
2019-10-02,94040.37881395123
2019-10-03,94748.61567154947
2019-10-04,96128.38062909464
2019-10-07,96099.54211490591
2019-10-08,96099.54211490591
2019-10-09,96993.7856589847
2019-10-10,96964.68752328702
2019-10-11,96964.68752328702
2019-10-14,96995.02372536638
2019-10-15,96965.92521824877
2019-10-16,97392.37753873633
2019-10-17,97105.86769934854
2019-10-18,98039.03852912036
2019-10-21,98009.62681756163
2019-10-22,98063.72537768212
2019-10-23,98034.3062600688
2019-10-24,98143.4432641739
2019-10-25,98114.00023119464
2019-10-28,97065.06815133993
2019-10-29,97263.033874239
2019-10-30,97538.81788748188
2019-10-31,97639.30865491608
2019-11-01,97610.01686231961
2019-11-04,97073.75532794623
2019-11-05,96998.574839359
2019-11-06,97060.32638516257
2019-11-07,96293.05942409542
2019-11-08,95967.38971873547
2019-11-11,96098.60187119356
2019-11-12,95731.92377862535
2019-11-13,95521.51249149178
2019-11-14,95492.85603774435
2019-11-15,95492.85603774435
2019-11-18,95393.76327755839
2019-11-19,95421.26951141132
2019-11-20,95392.64313055789
2019-11-21,95392.64313055789
2019-11-22,95392.64313055789
2019-11-25,95392.64313055789
2019-11-26,95209.61197771975
2019-11-27,94622.58171645159
2019-11-29,95027.59866861333
2019-12-02,95916.1380331808
2019-12-03,95887.36319177084
2019-12-04,95887.36319177084
2019-12-05,95887.36319177084
2019-12-06,95887.36319177084
2019-12-09,96093.64481657834
2019-12-10,96023.49858989436
2019-12-11,96245.34710379032
2019-12-12,96216.47349965919
2019-12-13,96127.61901118577
2019-12-16,95408.81139370149
2019-12-17,95256.85151897458
2019-12-18,95286.24219710601
2019-12-19,94753.83736019036
2019-12-20,94382.64906131575
2019-12-23,94169.92407691584
2019-12-24,94095.41725201892
2019-12-26,93587.29965926893
2019-12-27,93610.63954485278
2019-12-30,94167.1338499795
2019-12-31,94138.8837098245
2020-01-02,94138.8837098245
2020-01-03,95018.91138301096
2020-01-06,94990.40570959605
2020-01-07,94990.40570959605
2020-01-08,94990.40570959605
2020-01-09,94157.00803118365
2020-01-10,94362.93083058886
2020-01-13,93209.65727898851
2020-01-14,93507.07463887734
2020-01-15,93387.82484114579
2020-01-16,92289.85315328455
2020-01-17,91997.17052659433
2020-01-21,92344.50097642397
2020-01-22,92126.29990607136
2020-01-23,91847.33877199916
2020-01-24,92431.2244340314
2020-01-27,90946.25848589648
2020-01-28,91829.12679800978
2020-01-29,91649.90948167988
2020-01-30,92802.34265169481
2020-01-31,92774.50194889931
2020-02-03,93538.01875292568
2020-02-04,93509.9573472998
2020-02-05,93054.1636525546
2020-02-06,92380.3215327004
2020-02-07,92958.45532181191
2020-02-10,91797.8218398072
2020-02-11,91805.75530912862
2020-02-12,90979.25591656489
2020-02-13,91130.89071433104
2020-02-14,90863.58877327833
2020-02-18,90997.29911361224
2020-02-19,90969.99992387816
2020-02-20,91838.44982102282
2020-02-21,91810.89828607651
2020-02-24,91810.89828607651
2020-02-25,88759.02543570749
2020-02-26,88520.1862916546
2020-02-27,84503.76197583153
2020-02-28,83807.87283992753
2020-03-02,87763.62806536356
2020-03-03,85931.70668683118
2020-03-04,89125.25337115643
2020-03-05,89098.51579514508
2020-03-06,86672.9202965709
2020-03-09,77811.87239944526
2020-03-10,81874.61141603495
2020-03-11,77020.83895628028
2020-03-12,69235.29009176082
2020-03-13,75965.77715883983
2020-03-16,65850.99036996426
2020-03-17,69744.81899221342
2020-03-18,65250.97671426545
2020-03-19,66175.52462036334
2020-03-20,63291.982636589695
2020-03-23,61805.19347409437
2020-03-24,68327.23120682058
2020-03-25,68306.73303745853
2020-03-26,68306.73303745853
2020-03-27,68306.73303745853
2020-03-30,68306.73303745853
2020-03-31,68306.73303745853
2020-04-01,68306.73303745853
2020-04-02,68306.73303745853
2020-04-03,68306.73303745853
2020-04-06,68306.73303745853
2020-04-07,68306.73303745853
2020-04-08,68306.73303745853
2020-04-09,67901.49788758394
2020-04-13,68929.51318501079
2020-04-14,66776.50881045258
2020-04-15,68357.73992128507
2020-04-16,67080.12803648463
2020-04-17,66438.41027110869
2020-04-20,67225.34700437565
2020-04-21,67205.17940027434
2020-04-22,67205.17940027434
2020-04-23,67205.17940027434
2020-04-24,67205.17940027434
2020-04-27,67205.17940027434
2020-04-28,66208.05528700023
2020-04-29,62951.76340696681
2020-04-30,64923.83625662899
2020-05-01,64904.359105751995
2020-05-04,64904.359105751995
2020-05-05,64904.359105751995
